title,abstract
Jens Enevoldsen,Jens Evald Enevoldsen-Elsing (23 September 1907 – 23 May 1980) was a Danish chess master born in Copenhagen.Passengers of the Piriápolis
1997 in chess,Events in chess in 1997:
Barry Attack,The Barry Attack is a chess opening for White that starts with the moves 1. d4 Nf6 2.
Benito Villegas,Benito Higinio Villegas (11 January 1877  –  27 April 1952) was an Argentine chess master.
Alexander Kevitz,"Alexander Kevitz (September 1, 1902 – October 24, 1981) was an American chess master. Kevitz also played correspondence chess, and was a creative chess analyst and theoretician."
Carl Schlechter Memorial Tournament,"Carl Schlechter Memorial Tournament (Carl-Schlechter-Gedenkturnier) is an irregularly scheduled chess competition initiated to honor the memory of leading Austrian chess master Carl Schlechter (1874–1918), who died as a result of privations suffered in the immediate aftermath of World War I."
1996 in chess,Events in chess in 1996:
Vidmar Memorial,The Milan Vidmar Memorial is a strong closed chess tournament commemorating
Marshall Gambit,The Marshall Gambit may refer to a number of chess openings named after the American chess master Frank Marshall.
Milan Vidmar Jr.,"Milan Vidmar Jr. (16 December 1909, Weiz – 10 November 1980, LjubljanaGaige, Jeremy: Chess personalia, McFarland 2005, p."
Panamanian Chess Championship,The Panamanian Chess Championship is the individual national chess championship of Panama. The first edition was played in 1945 and won by Rubén Darío Cabrera.
Stojan Puc,Stojan Puc (9 April 1921 – 29 January 2004) was a Slovenian chess master.
Capablanca Memorial,The Capablanca Memorial is a chess tournament that has been held annually in Cuba since 1962.
Yaacov Zilberman,Yaacov Zilberman (born 26 May 1954) is an Israeli chess grandmaster.
Senterej,"Senterej (Amharic ሰንጠረዥ sänṭäräž or Ethiopian chess) is a regional chess variant, the form of chess traditionally played in Ethiopia and Eritrea. It is the last popular survival of shatranj."
Aeroflot Open,"The Aeroflot Open is an annual open chess tournament played in Moscow and sponsored by the airline Aeroflot. It was established in 2002 and quickly grew to be the strongest open tournament; in 2013 it was converted to a rapid and blitz event, while in 2014 it wasn't held."
1st unofficial Chess Olympiad,"The 1st Team Chess Tournament was held together with the 1924 Summer Olympics in Paris, 12–20 July 1924, at the Hotel Majestic. The key members of the organizing committee were the Frenchmen Pierre Vincent and Alexander Alekhine."
2nd unofficial Chess Olympiad,"The 2nd unofficial Chess Olympiad (Summit) was held in Budapest, June 26 to July 15, 1926, during the FIDE Congress.Stanisław Gawlikowski Olimpiady szachowe 1924 - 1974 Wyd."
1995 in chess,Events in chess in 1995;
3rd unofficial Chess Olympiad,"The 3rd unofficial Chess Olympiad was held by German Chess Federation (Grossdeutscher Schachbund) as a counterpart of the 1936 Summer Olympics in Berlin with reference to 1924 and 1928 events.OlimpBase :: Chess Olympiad, Munich 1936, information"
Antoni Wojciechowski,Antoni Wojciechowski (6 June 1905 – 19 January 1938) was a Polish chess master.
Emil Zinner,"Emil Zinner (23 August 1909, Brno – 8 July 1942, Majdanek) was a Jewish-Czech chess master."
Leon Kremer,Leon Kremer (1901–1941) was a Polish chess master.
Wolfgang Weil,"Wolfgang Weil (November 23, 1912, Klosterneuburg – 1944/45, Croatia) was an Austrian chess master.Geschichte des NÖSV"
Borislav Milić,"Borislav Milić (Cyrillic Борислав Милић) (20 October 1925 – 28 May 1986) was a Yugoslav Grandmaster of chess, and a chess writer, organizer, promoter, and administrator."
Gerhard Pfeiffer,"Gerhard Pfeiffer (June 14, 1923 – June 27, 2000) was a German chess master and chess problemist."
Chang Tung Lo,Chang Tung Lo is a Chinese chess player. He was a member of the Chinese national chess team.
Henryk Pogorieły,Henryk Pogorieły (1908 in Warsaw – 1943 in Warsaw) was a Polish chess master.
Henri Weenink,"Henri Gerard Marie Weenink  (17 October 1892, Amsterdam – 2 December 1931) was a Dutch chess player and a problem composer."
Karol Piltz,Karol Piltz (1903–1939) was a Polish chess master.
Rafał Feinmesser,Rafał Feinmesser (1895 – ?) was a Polish chess master.
Abraham Speijer,"Abraham Speijer (Speyer) (19 November 1873, Amsterdam – 5 September 1956, Amsterdam) was a Dutch chess master."
Božidar Ivanović,"Božidar Ivanović (Serbian Cyrillic: Божидар Ивановић; born in Cetinje, Montenegro (then Yugoslavia), 24 August 1946) is a chess Grandmaster who now represents Montenegro, a politician, and a chess official. He has served as Minister of Sport and Tourism in Montenegro."
Gottlieb Machate,"Gottlieb Machate (20 November 1904, Breslau – 27 May 1974, Stuttgart) was a German chess master."
Espen Lie,thumb|Espen Lie at the Norwegian Chess Championship at Hamar 2007
Paul Mross,"Paul Mross (Paweł Mróz) (23 January 1910, Bismarckhütte (now Chorzów) – 17 January 1991, Düsseldorf) was a Polish–German chess master.Schach Nachrichten"
World Chess Championship 1908,"Emanuel Lasker faced Siegbert Tarrasch in the 1908 World Chess Championship. It was played from August 17 to September 30, 1908 in Düsseldorf and Munich, Lasker successfully defending his title."
Women's Chess Olympiad,"The Women's Chess Olympiad is an event held by FIDE (the International Chess Federation) since 1957 (every two years since 1972), where national women's teams compete at chess for gold, silver and bronze medals. Since 1976 the Women's Chess Olympiad has been incorporated within Chess Olympiad events, with simultaneous women's and open tournaments."
Ludwig Schmitt,Ludwig Schmitt (15 April 1902 – 1980) was a German chess master.
Silesian Chess Congress,"The first Silesian Chess Congress was held in 1922. When the German Chess Federation (Deutscher Schachbund) started in 1877, there were not many regional chess federations."
Stanley Chess,Stanley Chess is an American legal commentator and former bar review course executive.
World Chess Championship 1910,"Emanuel Lasker faced Carl Schlechter in the 1910 World Chess Championship. It was played from January 7 to February 10, 1910 in Vienna and Berlin."
World Chess Championship 1910,"Emanuel Lasker faced David Janowski in the second 1910 World Chess Championship. It was played from November 8 to December 8, 1910 in Berlin, Lasker successfully defending his title."
UAAP Chess Championship,The University Athletic Association of the Philippines Chess tournament is held yearly by the UAAP.
Allan Nilsson,"Allan Nilsson (18 May 1899, Göteborg – 4 September 1949, Göteborg) was a Swedish chess master."
1994 in chess,Events in chess in 1994;
Karl Berndtsson,Karl Mathias Berndtsson Kullberg (16 March 1892 – 29 September 1943) was a Swedish chess master who was born and died in Göteborg.
Otto Löwenborg,"(Knut) Otto von Löwenborg (Loewenborg, Loevenborg, Løwenborg, Løvenborg) (2 March 1888 – December 1969) was a Swedish chess master."
Bjørn Nielsen,"Bjørn (Björn, Bjorn) Nielsen (4 October 1907 – 21 May 1949) was a Danish chess master."
Jan Schulz,Jan Schulz (May 1899 – May 1953) was a Czech chess master.
Pál Réthy,"Pál Réthy (28 January 1905, Deva – 27 December 1962, Budapest) was a Hungarian chess master."
Stefan Erdélyi,"Ștefan (Stefan, Stepan) Erdélyi (17 November 1905 in Temesvár (now Timişoara) – 26 October 1968 in Reșița) was a Hungarian–Romanian chess master."
André Muffang,"André Muffang (25 July 1897, St. Brieuc – March 1, 1989, Paris) was a French chess master."
Moriz Henneberger,"Moriz Henneberger (16 October 1878, Basel – 7 April 1959, Basel) was a Swiss chess master."
Walter Henneberger,"Walter Henneberger (19 May 1883, Ennenda – 15 January 1969, Zurich) was a Swiss chess master."
Alice Tonini,Alice Tonini was an Italian female chess master. She was an Italian citizen who lived in France.
Daniel Elyakim,Daniel Elyakim is a chess International Grandmaster in Correspondence Chess and the Israeli champion of Correspondence Chess for the 1986 championship. Lives in Ramat Gan.
Abir Har Even,"Abir Har Even  is a chess International Grandmaster in Correspondence Chess and the Israeli champion of Correspondence Chess for the 1966 and 1974 championships. He lives in Emmanuel, Israel."
Paris City Chess Championship,The first Paris City Chess Championship was held in 1925. Since 1989 the title of Paris Champion has been awarded to the highest-placed French player licensed in Île-de-France for the current and previous season.
Léon Monosson,"Léon Monosson (21 December 1892, Shchedrin  – 17 February 1943, Auschwitz) was a Belarusian–French chess master."
List of chess grandmasters,This is a list of chess grandmasters. The title of Grandmaster is awarded to world-class chess players by the sport's governing body FIDE.
Tihomil Drezga,"Tihomil Drezga (Dresga, Drezza) (1903–1981) was a Croatian chess master."
Kibitzer,"A Kibitzer is a Yiddish term for a spectator, usually one who offers (often unwanted) advice or commentary. The term can be applied to any activity, but is most commonly used to describe spectators in games such as contract bridge, chess and Schafkopf."
Peter Potemkine,"Peter Petrovich Potemkine (, Pyotr Petrovich Potyomkin; 1886–1926) was a Russian chess master.Chess Notes by Edward Winter"
Ludovit Potuček,Ľudovít Potúček (born 16 April 1912) was a Slovak chess master.
Yin Hao,"Yin Hao (; born 1979)中国国际象棋运动员等级分数据库 is a Chinese International Master former chess player.Rating data for player Yin Hao, (CHN) He is currently the Rating Officer for the Chinese Chess Association and is a qualified International Arbiter (2002)."
Andrew Kalotay,"Andrew Kalotay (born 1941) is a Hungarian-born finance professor, Wall Street quant and chess master. He is best known as an authority on fixed income valuation and institutional debt management."
Daniel Naroditsky,"Daniel Naroditsky (born November 19, 1995 in San Mateo, California) is an American chess prodigy and Grandmaster. He has been ranked No."
Berlin City Chess Championship,"The Berlin Chess Championship is an annual chess tournament in Germany. The first unofficial Berlin Chess Championship was held in 1853, and Jean Dufresne won a match against Max Lange."
Karl Helling,"Karl Helling (10 August 1904, Luckenwalde, Brandenburg – 15 August 1937, Berlin) was a German chess master."
Willi Schlage,Willi Schlage (24 December 1888 – 5 May 1940 in Berlin) was a German chess master and trainer.
Yoav Dothan,"Yoav Dothan is a chess International Grandmaster in Correspondence Chess, the Israeli champion of Correspondence Chess for the 1997 championship and the winner of the Finland Jubilee 40.http://tables."
Rolando Illa,"Rolando Illa (6 September 1880, New York City – 3 May 1937, Buenos Aires) was a Cuban–Argentine chess master."
Arthur Feuerstein,"Arthur William Feuerstein (born December 20, 1935) is an American chess player and winner of the first U.S."
Biel Chess Festival,"The Biel International Chess Festival is an annual chess tournament that takes place in Biel/Bienne, Switzerland. It consists of two events, the Grandmaster Tournament, held with the round-robin system, and the Master Open Tournament (MTO), held with the Swiss system."
Vlissingen chess tournament,"The Hogeschool Zeeland Tournament (or HZ Tournament) is an annual international chess tournament which takes place in Vlissingen, Netherlands.Torneo Vlissingen."
Rudolf Palme,"Rudolf Palme (6 March 1910, Vienna – 1 January 2005, Reutte) was an Austrian chess master."
SchemingMind,SchemingMind is a privately owned international correspondence chess club founded in 2002. Most games and tournaments are played on a correspondence chess server owned by the club for this purpose.
First-move advantage in chess,"right|thumb|alt=Photographic portrait of Wilhelm Steinitz.|[[Wilhelm Steinitz, who in 1889 claimed chess is a draw with best play]]"
Walter Michel,"Walter Michel (November 26, 1888 – September 30, 1969) was a Swiss chess master."
Louis van Vliet,"Louis van Vliet (17 August 1854, AmsterdamPeter de Jong, News from the Past - Louis van Vliet at chess club.org – 15 June 1932, London) was a Dutch chess master."
Fritz Gygli,Fritz Gygli (12 November 1896 in Villachern – 27 April 1980 in Zürich) was a Swiss chess master.
Károly Sterk,Károly Sterk (19 September 1881 – 10 December 1946) was a Hungarian chess master.
Zsigmond Barász,"Zsigmond Barász (January 1878 – 28 May 1935, Budapest) was a Hungarian chess master."
New York 1931 chess tournament,"At the New York 1931 chess tournament José Raúl Capablanca (Cuba) won with of 10 points from 11 games, 1½ points ahead of Isaac Kashdan (United States)."
Ploy,"Ploy is an abstract strategy board game for two or four players, played on a 9x9 board with a set of 15 pieces (2-handed) or 9 pieces (4-handed and partnership games) per player.  Pieces have various horizontal, vertical or diagonal moves somewhat like chess pieces, except directions of movement are limited; pieces change directions of movement by ""rotating""."
Human–computer chess matches,This article documents the progress of significant human–computer chess matches.
A. Polak Daniels,"Ansel Polak Daniels (2 August 1842, The Hague - 1 April 1891, The Hague)The Hague Civil Registry  was a Dutch chess master."
Samuel Mieses,Samuel Mieses (November 1841 – January 1884) was a German chess master.
Berlin Pleiades,"The Berlin Pleiades – a group of seven stars of German chess – Die Berliner Schule or Das Berliner Siebengestirn (die Plejaden) – in the 19th century, lasting 1837–1843. They are named after the star constellation the Pleiades."
Frederick Deacon,"Frederick Deacon (January 1829 – 20 November 1875, in Brixton, London) was a British chess master.The British chess magazine Volume 95 1975 ""we add a note on Frederick Deacon, whom Sergeant refers to as 'a young amateur from Bruges', but British by birth."
Karl Ruben,"Carl (Karl) Ruben (born 4 August 1903, date of death unknown) was a Danish chess master.http://www."
Juan Carlos González Zamora,"Juan Carlos González Zamora (born June 24, 1968) is a Cuban-born Mexican chess grandmaster. He was the fourth Mexican to be awarded the Grandmaster title by FIDE."
Marcel Sisniega Campbell,"Marcel Sisniega Campbell (July 28, 1959 – January 19, 2013) was a Mexican chess Grandmaster and film director. Sisniega was born in Chicago but grew up in Cuernavaca near Mexico City."
Graham Burgess,"Graham K. Burgess (born 24 Feb 1968 in Liverpool, England) is an English FIDE Master of chess and a noted writer and trainer."
Vitaly Chekhover,"Vitaly Alexandrovich Chekhover (also spelled Tschechower or Czechower, pronounced ""chekh a VYAIR"") () (December 22, 1908 – February 11, 1965) was a Soviet chess player and chess composer. He was also a pianist."
Max Fleissig,"Miksa (Max) Fleissig (10 November 1845, in Csenger – 23 January 1919) was a Hungarian-born Austrian chess master."
Bernhard Fleissig,"Bernhard (Bernát) Fleissig (born 1853, Hungary – died 7 March 1931, Vienna) was a Hungarian-born Austrian chess master."
Philipp Meitner,"Philipp Meitner (24 August 1839, Vienna – 9 December 1910, Vienna) was an Austrian lawyer and chess master. His most famous game was the ""Immortal Draw"" (Carl Hamppe vs Philipp Meitner, Vienna 1872)."
Singaporean Chess Championship,The Singapore Chess Championship is the annual individual national chess championship of Singapore organised by the Singapore Chess Federation. It features an impressive 67 (sixty-seven) consecutive National Championships held from 1949-2015.
Carl Hamppe,"Carl Hamppe (born 1814, Switzerland – died 17 May 1876, Gersau, Canton of Schwyz) was a senior government official in Vienna as well as a Swiss-Austrian chess master and theoretician."
Elias Stein,"Elias Stein (5 February 1748, Forbach – 12 September 1812, The Hague) was a Dutch chess master. Born in Lorraine into a Jewish family, he settled in The Hague."
Andreas Rosendahl,Andreas Cristian Rosendahl (1864 – 7 January 1909) was a Danish chess master.Sports Statistics.
Alexander Fritz,"Alexander Fritz (15 January 1857, Kirchlotheim – 22 April 1932, Alsfeld) was a German chess master."
Emil Josef Diemer,Emil Joseph (Josef) Diemer (15 May 1908 in Radolfzell – 10 October 1990 in Fussbach/Gengenbach) was a German chess master.
Alfonso Almeida,"Alfonso Almeida Saenz (born 12 October 1966) is a chess International Master from Mexico. On the July 2009 FIDE rating list he has an Elo rating of 2378, making him the number nine Mexican chess player."
Paul Devos,Paul Devos (10 March 1911 – 14 June 1981) was a Belgian chess master.
Boruch Israel Dyner,Boruch Israël Dyner (27 September 1903 – 13 February 1979) was a Belgian–Israeli chess master.Sports Statistics.
Emmanuel Sapira,Emmanuel Sapira (1900–1943) was a Romanian-born Belgian chess master.
John O'Hanlon,"John O'Hanlon (23 April 1876, Portadown – 20 February 1960, Dublin) was an Irish chess master."
Acropolis International chess tournament,The Acropolis International was a chess tournament held in Athens.
Victor Wahltuch,Victor Leonard Wahltuch (24 May 1875 in Manchester – 27 August 1953 in London) was an English chess master.
Georg Schories,"Georg Schories (George Shories) (9 January 1874, Berlin – 2 December 1934, Berlin) was a German chess master.ChessBase Spieler Datenbank - Suche Georg Schories"
Ariah Mohiliver,"Ariah (Aryeh) Lev Mohiliver (Mohilever) (born May 16, 1904, Białystok; died 1996 in Jerusalem, Israel) was an Israeli chess master and editor."
Arnold Schottländer,Arnold Schottländer (2 April 1854 – 9 September 1909) was a German chess master.Breslauer Biographien
Cathy Warwick,Cathy Warwick (née Forbes) (born 6 February 1968) is an English chess player and writer.
Stasch Mlotkowski,"Stasch Mlotkowski (Staś Młotkowski) (10 March 1881, Clifton Heights, New Jersey – 16 August 1943, Gloucester City, New Jersey) was an American chess master."
American Chess Congress,"The American Chess Congress was a series of chess tournaments held in the United States, a predecessor to the current U.S."
Gabriel Schwartzman,Gabriel Schwartzman  is a Romanian-born American chess Grandmaster.
Theodor Lichtenhein,"Theodor (Theodore) Lichtenhein  (January 1829, Königsberg – 19 May 1874, Chicago) was an American chess master."
I'll Be Home,"""I'll Be Home"" is a 1955 song that was written by Ferdinand Washington and Stan Lewis.  The song was originally a  hit for The Flamingos on the Checker Records subsidiary of Chess Records."
George Alcock MacDonnell,George Alcock MacDonnell (16 August 1830 in Dublin – 3 June 1899 in London) was an Anglican clergyman as well as a chess master and writer.
Louis Uedemann,Louis Uedemann (10 January 1854 – 22 November 1912) was an American chess master.
Amos Pokorný,"Amos Pokorný (March 1890 – August 18, 1949) was a Czech chess master."
Rudolph Pokorny,"Rudolph (Rudolf) Pokorny (1880 in Tišnov, Moravia – ?) was an Austro–Mexican chess master."
Joseph Platz,"Joseph Platz (11 April 1905, Cologne, Germany –  30 December 1981, Manchester, Connecticut, USA) was a German-American chess master."
Chess theory,"The game of chess is commonly divided into three phases: the opening, middlegame, and endgame.John Watson, Secrets of Modern Chess Strategy: Advances Since Nimzowitsch, Gambit Publications, 1998, p."
Jan Willem te Kolsté,"Jan Willem te Kolsté (11 September 1874, Utrecht – 31 January 1936, The Hague Overlijdensadvertenties Overleden: Jan Willem te Kolste) was a Dutch chess master."
Johannes Metger,"Johannes Metger (15 December 1850, Groothusen - 24 January 1926, Kiel) was a German chess master."
Max Romih,Massimiliano (Massimo) Romi né Max Romih () (22 May 1893 – 24 April 1979) was an Italian chess master.
Rudolf Pitschak,Rudolf Pitschak (5 August 1902 – 23 September 1988) was a Czech–German chess master.
Louis Betbeder Matibet,Louis Betbeder Matibet (29 August 1901 – 5 May 1986) was a French chess master born in Orléans.
Antonio Sacconi,Antonio Sacconi (5 October 1895 – 22 December 1968) was an Italian chess master.
Deutsche Schachzeitung,"Deutsche Schachzeitung (English: ""German Chess Paper"") was the first German chess magazine."
1993 in chess,Events in chess in 1993;
Roman Pelts,"Roman Shlemovich Pelts (born August 11, 1937) is a Ukrainian-Canadian chess master, born in Odessa."
Reflexmate,"A reflexmate is a chess problem in which white, moving first, must force black to deliver checkmate within a specified number of moves against his will - with the added condition that if either player can give checkmate, they must. If this condition applies only to Black, it is a semi-reflexmate."
Oscar Gelbfuhs,"Oscar Gelbfuhs (November 9, 1852 in Šternberk, Moravia – September 27, 1877 in Cieszyn, Austrian Silesia) was a Moravian-Austrian chess master."
1932 in chess,Events in chess in 1932:
1933 in chess,Events in chess in 1933:
Isador Samuel Turover,"Isador (Isaac) Samuel Turover (Sochaczew,US registration card 8 JulyThe registration card says 22 July. 1892 – 16 October 1978) was an American chess master."
Vladimir Sournin,"Vladimir Sournin (1 August 1875, Mstislavl, Russia – 21 August 1942, Baltimore, USA) was a Russian-American chess master."
Atanas Kolev,"Atanas Kolev (; born July 15, 1967) is a Bulgarian Grandmaster of chess.  His highest rating is 2602, January 2012."
1992 in chess,Events in chess in 1992;
World Chess Championship 2012,"The World Chess Championship 2012 was a chess match between the defending world champion Viswanathan Anand of India and Boris Gelfand of Israel, winner of the 2011 Candidates Tournament. After sixteen games, including four rapid games, Anand retained his title."
FIDE Grand Prix 2008–10,"The FIDE Grand Prix 2008–10 was a series of six chess tournaments that formed part of the qualification for the World Chess Championship 2012. It was administered by FIDE, the World Chess Federation."
Karl Wilhelm Rosenkrantz,"Karl (Carl) Wilhelm Rosenkrantz (, Karl Vilyamovich Rosenkrantz; 13 June 1876 – 1942) was a Russian and Soviet chess master."
Kurt Dreyer,"Kurt Dreyer (31 July 1909 in Bielefeld, Germany – 29 September 1981 in Johannesburg, South Africa) was a German–South African chess master."
Gustav Rogmann,Gustav Rogmann (8 May 1909 – July 1947) was a German chess master.
Max Walter,Max Walter (born 1899 – died 1945) was a Slovak chess master.
Ernst Flechsig,Ernst Flechsig (5 October 1852 - 11 October 1890) was a German chess master.
Artur Popławski,"Artur Popławski (1860, in Warsaw – 1918, in Warsaw) was a Polish chess master."
Alberto Foguelman,"Alberto Foguelman (13 October 1923,Visa with photo Buenos Aires - 9 December 2013,La Nación Buenos Aires) was an Argentine chess master."
1991 in chess,Events in chess in 1991;
Albert Fox,Dr. Albert Whiting Fox (29 April 1881 – 29 April 1964) was an American chess master.
Chess World Cup,"The Chess World Cup refers to three different events over the years. Since 2000, it has been a major chess event organized by FIDE, the World Chess Federation."
Myroslav Turiansky,"Myroslav Turiansky (10 October 1912, Rudky – 28 December 1998, Radekhiv) was a Ukrainian chess master."
Iosif Pogrebyssky,"Iosif Benediktovich Pogrebyssky (Pogrebysski, Pogrebissky) (February 23, 1906, Uman - May 20, 1971, Leningrad) was a Ukrainian chess master."
Leonids Dreibergs,"Leonīds Dreibergs (Leonid Dreiberg) (27 October 1908, Riga – 6 April 1969, Saginaw, Michigan) was a Latvian–American chess master."
Izaak Towbin,"Izaak Towbin (1899, Korets, Volhynia – 1941, Warsaw) was a Polish chess master and organizer."
Walter Niephaus,"Walter Niephaus (March 30, 1923 – November 2, 1992, Andernach) was a German chess master."
Sergiu Samarian,"Sergiu Samarian (10 June 1923, Chişineu-Criş, Romania – 3 June 1991, Heidelberg) was a Romanian–German chess master and coach."
1990 in chess,Events in chess in 1990;
Lafayette Leake,"Lafayette Leake (June 1, 1919 – August 14, 1990) was a blues and jazz pianist, organist, vocalist and composer who played for Chess Records as a session musician, and as a member of the Big Three Trio, during the formative years of Chicago blues.  He played piano on many of Chuck Berry's recordings."
List of chess games between Kasparov and Kramnik,"Garry Kasparov and Vladimir Kramnik have played 49 classical chess games, of which Kramnik won five, Kasparov won four, with the remaining 40 games drawn. Thus the overall score favors Kramnik (+5−4=40)."
Francisco Benkö,"Francisco (Franz) Benkö (Benkő, Benko) (24 June 1910 – 11 January 2010) Franz Benkö 24 June 1910 - 11 January 2010 was a German–Argentine chess master and problemist."
Colossus Chess,"Amiga, Amstrad CPC, Amstrad PCW, Apple II, Atari 8-bit, Atari ST,Higham,Mark;(Dec 1988);Battlechess vs Colossus Chess X in ST Amiga FormatIssue 6;pp. 66 BBC Micro, Commodore 64, Commodore Plus/4, Enterprise 64 & 128, IBM PC,Ponting,Tim;(Sep 1990);Colossus Chess X review in Zero 11;pp60-61 MSX, ZX Spectrum"
Mladen Šubarić,Mladen Šubarić (1908–1991) was a Croatian chess master.
Sigmund Herland,"Sigmund Herland (September 27, 1865 – August 15, 1954) was a Romanian chess master and composer."
Vincent Grimm,"Vincent (Vincenz, Vince) Grimm (1800, Vienna – 15 January 1872, Budapest) was a Hungarian chess master.https://web."
Marigje Degrande,"Marigje Degrande (born 7 August 1992) is a Belgian chess player from Bruges, West Flanders. She won the Belgian Chess Championship for women in 2006, 2007 and 2008."
Vincenzo Nestler,"Vincenzo Nestler (8 January 1912, Agrigento – 14 July 1988, Rome) was an Italian chess master.nestler"
Federico Norcia,"Federico Norcia (31 March 1904, Lugo di Romagna – 15 July 1985, Modena) was an Italian chess master.norcia"
Boris Maliutin,"Boris Evgenievich Maliutin (Maljutin, Malyutin, Malutin) (1883–1920) was a Russian chess master."
List of chess books,"This is a list of chess books that are used as references in articles related to chess. The list is organized by alphabetical order of the author's surname, then the author's first name, then the year of publication, then the alphabetical order of title."
Chris de Ronde,Chris (Christiaan) de Ronde (1912 in SchiedamPassengers of the Piriápolis – 1996 in Buenos Aires) was a Dutch–Argentinian chess master.Sports Statistics.
George Walker,"George Walker (13 March 1803 – 23 April 1879) was an English chess player and author of The Celebrated Analysis of A D Philidor (London, 1832), The Art of Chess-Play: A New Treatise on the Game of Chess (London, 1832), A Selection of Games at Chess played by Philidor (London, 1835), Chess Made Easy (London, 1836), and Chess Studies (London, 1844).Books and Writers - Chess Books 1749-1875"
Alexander McDonnell,Alexander McDonnell (1798–1835) was an Irish chess master.
Georgy Lisitsin,Georgy Mikhailovich Lisitsin or Lisitsyn (; 11 October 1909 – 20 March 1972) was a Russian chess master.
Bare king,"In chess and chess variants, a bare king (or lone king) is a game position where one player has only the king remaining (i.e."
Samuil Vainshtein,"Samuil Osipovich Vainshtein (Weinstein, Wainstein, Vainstein, Wajnsztejn) (1894–1942) was a Russian chess master, organizer, publisher and editor.Litmanowicz, Władysław & Giżycki, Jerzy (1986, 1987)."
Peter Petrovich Saburov,"Peter Petrovich Saburov (Sabouroff) (, Saint Petersburg – 26 March 1932, Geneva) was a Russian diplomat, chess master and organizer, and musical composer."
Modern Chess,Modern Chess is a chess variant played on a 9×9 board. The game was invented by Gabriel Vicente Maura in 1968.
Soviet Chess School,"The Soviet School of Chess was asserted to be a national style of play by Soviet chess players and journalists.  Although chess had been a game of the bourgeois and upper classes before the revolution, its popularity among Bolshevik leaders, including Lenin, contributed to its being supported by state leaders in the USSR as a national pastime."
Abram Gurvich,"Abram Solomonovich Gurvich (Russian Абра́м Соломо́нович Гу́рвич) was a Russian composer of chess endgame studies. He was born in Baku on February 11, 1897, worked as literature and theatrical reviewer."
List of round-robin chess tournaments,This is a list of chess round-robin tournaments.
Alexander Roshal,"Alexander Borisovich Roshal (; , Moscow – ) was a Soviet chess player and journalist, the co-founder and editor of the magazine 64."
World Chess Championship 1929,"The 1929 World Chess Championship was played between challenger Efim Bogoljubow and titleholder Alexander Alekhine. The match was held in Wiesbaden, Heidelberg and Berlin in Germany, and The Hague and  Amsterdam in the Netherlands from September 6 to November 12."
World Chess Championship 1934,"The 1934 World Chess Championship was played between challenger Efim Bogoljubow and titleholder Alexander Alekhine. The match was held in various cities and towns in Germany from April 1 to June 14, with Alekhine retaining his title."
Rubinstein Memorial,"The Rubinstein Memorial is an annual chess tournament held in Polanica-Zdrój, Poland in honour of the chess legend Akiba Rubinstein. Rubinstein died in 1961 and the tournament had its first edition in 1963."
Zdzisław Belsitzmann,Zdzisław Belsitzmann (ca. 1890–1920) was a Polish chess master.
Jan Kleczyński Jr.,"Jan Kleczyński (24 June 1875, Warsaw – September 1939, Warsaw) was a Polish writer, art critic, journalist and chess master ."
Jan Kleczyński Sr.,"Jan Kleczyński (8 June 1837 – 15 September 1895) was a Polish pianist, composer, journalist, and chess master."
Paul Krüger,Paul Krüger (Krueger) (12 October 1871 – 7 August 1939) was a German chess master.
FIDE World Chess Championship 2002,"The FIDE World Chess Championship 2002 was held in Moscow, Russia. The first six rounds were played between 27 November and 14 December 2001, and the final match started on 16 January and ended on 23 January 2002."
List of chess games between Anand and Kramnik,"Viswanathan Anand (born 11 December 1969) and Vladimir Kramnik (born 25 June 1975) have played 93 classical chess games, of which Kramnik won eleven, Anand won eleven, and 71 games were drawn."
FIDE World Chess Championship 2000,"The FIDE World Chess Championship 2000 was held in New Delhi, India, and Tehran, Iran. The first six rounds were played in New Delhi between 27 November and 15 December 2000, and the final match in Tehran started on 20 December and ended on 24 December 2000."
Willem Schelfhout,"Willem Andreas Theodorus Schelfhout (19 May 1874, The Hague – 8 January 1951) was a Dutch chess master."
Wilhelm Hilse,Wilhelm Heinrich Hilse (26 June 1878 - 30 November 1940) was a German chess master.
FIDE World Chess Championship 1999,"The FIDE World Chess Championship 1999 was held at Caesars Palace on the Las Vegas Strip between 31 July and 28 August 1999. The championship was won by Russian Alexander Khalifman, making him the FIDE World Chess Champion."
Modern chess,"* for the chess variant, see Modern Chess (chess variant)"
Nikolay Pavlov-Pianov,"Nikolay (Nikolai) M. Pavlov-Pianov (Pjanov, Pyanov) () was a Russian chess master."
Joel Fridlizius,Joel Fridlizius (31 December 1869 – 6 January 1963) was a Swedish chess master.http://hem.
Józef Dominik,"Józef Dominik (10 March 1894, Dobczyce - 10 September 1920, Krasne) was a Polish chess master."
František Schubert,"František Schubert (27 April 1894, Mladá Boleslav – 19 April 1942, Łódź) was a Czech chess master."
Adolf Kramer,Adolf Kramer  (1871 – 10 January 1934) was a Silesian German chess master.
Ado Kraemer,"Adolf (Ado) Kraemer (Krämer) (23 March 1898, in Büdingen – 25 June 1972, in Berlin) was a German chess master and problemist."
Iranian Chess Championship,"The Iranian Chess Championship is the yearly national chess championship of Iran. Below is the gallery of champions, notice the gap between 1980 and 1990 (1359 and 1369 according to the Iranian calendar), when chess was forbidden in Iran."
